"area_name","area_code","date","new_cases","total_cases"
"Havering","E09000016",2020-05-23,0,879
"Hillingdon","E09000017",2020-05-23,1,998
"Hounslow","E09000018",2020-05-23,1,949
"Islington","E09000019",2020-05-23,1,512
"Kensington and Chelsea","E09000020",2020-05-23,1,527
"Kingston upon Thames","E09000021",2020-05-23,0,690
"Lambeth","E09000022",2020-05-23,5,1316
"Lewisham","E09000023",2020-05-23,1,1141
"Merton","E09000024",2020-05-23,3,879
"Newham","E09000025",2020-05-23,7,1176
"Redbridge","E09000026",2020-05-23,2,1012
"Richmond upon Thames","E09000027",2020-05-23,0,491
"Southwark","E09000028",2020-05-23,3,1387
"Sutton","E09000029",2020-05-23,2,939
"Tower Hamlets","E09000030",2020-05-23,4,742
"Waltham Forest","E09000031",2020-05-23,1,942
"Wandsworth","E09000032",2020-05-23,4,1101
"Westminster","E09000033",2020-05-23,2,721
"Barking and Dagenham","E09000002",2020-05-24,0,657
"Barnet","E09000003",2020-05-24,2,1523
"Bexley","E09000004",2020-05-24,1,973
"Brent","E09000005",2020-05-24,4,1635
"Bromley","E09000006",2020-05-24,3,1466
"Camden","E09000007",2020-05-24,2,669
"Croydon","E09000008",2020-05-24,3,1778
"Ealing","E09000009",2020-05-24,3,1433
"Enfield","E09000010",2020-05-24,3,1116
"Greenwich","E09000011",2020-05-24,0,884
"Hackney and City of London","E09000012",2020-05-24,1,761
"Hammersmith and Fulham","E09000013",2020-05-24,0,702
"Haringey","E09000014",2020-05-24,3,708
"Harrow","E09000015",2020-05-24,0,1212
"Havering","E09000016",2020-05-24,1,880
"Hillingdon","E09000017",2020-05-24,4,1002
"Hounslow","E09000018",2020-05-24,0,949
"Islington","E09000019",2020-05-24,0,512
"Kensington and Chelsea","E09000020",2020-05-24,1,528
"Kingston upon Thames","E09000021",2020-05-24,1,691
"Lambeth","E09000022",2020-05-24,2,1318
"Lewisham","E09000023",2020-05-24,2,1143
"Merton","E09000024",2020-05-24,2,881
"Newham","E09000025",2020-05-24,1,1177
"Redbridge","E09000026",2020-05-24,0,1012
